taxon	lfc_(Intercept)	lfc_EnvironmentFreshwater	lfc_EnvironmentSaline	se_(Intercept)	se_EnvironmentFreshwater	se_EnvironmentSaline	W_(Intercept)	W_EnvironmentFreshwater	W_EnvironmentSaline	p_(Intercept)	p_EnvironmentFreshwater	p_EnvironmentSaline	q_(Intercept)	q_EnvironmentFreshwater	q_EnvironmentSaline	diff_(Intercept)	diff_EnvironmentFreshwater	diff_EnvironmentSaline	passed_ss_(Intercept)	passed_ss_EnvironmentFreshwater	passed_ss_EnvironmentSaline	diff_robust_(Intercept)	diff_robust_EnvironmentFreshwater	diff_robust_EnvironmentSaline
Prochlorococcus	-1.50323966953336	4.80380162087082	3.47008658349087	0.474225858027959	0.985921892827288	1.50767261289642	-3.16988127932225	4.87239573014771	2.30161810581968	0.00559868172464667	0.00014323309024447	0.0342761257635113	1	0.0701842142197901	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Propionigenium	-1.20464554895762	1.14485408196893	3.31475838463597	0.190408159538217	0.526903318230435	0.643041512910644	-6.32664877324144	2.1727972520914	5.15481243136567	0.00798372506367354	0.118145166440256	0.0141551286385589	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Prosthecobacter	-1.05609972736884	4.0027231134539	-0.091251477285659	0.228459222488907	0.738288094606076	0.534949638659633	-4.62270560086547	5.42162760404474	-0.170579566170562	0.0017041759476951	0.000629578868576086	0.868789558323535	0.758358296724319	0.296531647099336	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Proteus	0.478103377662201	0.424496781933638	0.521650600416371	0.290830267893949	0.683732139911556	0.73508913113561	1.64392578917041	0.620852461299462	0.70964265191963	0.120981749670369	0.544016012495452	0.488811122999296	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Providencia	0.164900338951622	0.934057149538852	1.13440694798423	0.479918879725658	0.767887419356968	0.886675874693985	0.343600441486874	1.21639855790454	1.27939304582494	0.735359705482775	0.240453107549531	0.217945681747534	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Pseudanabaena	-0.319393908832845	1.83447820097315	-1.39922842367159	0.190359394474067	0.835442077620639	0.473864110256173	-1.67784684183978	2.19581734044063	-2.95280523126168	0.191969836540909	0.115623217765879	0.059889325794415	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Pseudoalteromonas	-0.159667341034218	-1.58096639744872	2.30374202951236	0.209378660719385	0.588613565747559	0.690761946994305	-0.762576952616046	-2.68591566597831	3.33507373927672	0.46523177390042	0.0249629719663849	0.00872831598261888	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Pseudoclavibacter	1.1143872603739	-0.148197683414438	-2.59544254068177	0.294027206057071	0.971721532721412	0.510133190552322	3.79008213327579	-0.152510445044265	-5.08777430825796	0.0127573470607602	0.884747671932771	0.00380930309015539	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Pseudomonas	0.496532658565906	0.258682639317381	0.591777974454514	0.980614091022476	1.24237113759001	1.12870764640524	0.506348688145178	0.208216877783543	0.524296948230338	0.619115448280916	0.837533821016817	0.606841338448826	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Pseudonocardia	2.05521412991527	-2.64206839893794	-2.2763257525038	0.367907168715786	0.665705575516782	0.563989868857673	5.58623018162212	-3.96882420112964	-4.03611106900619	0.00139849065564557	0.00737687599150901	0.00683276603974484	0.632586402610385	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Pseudoruegeria	-0.21319820673271	-0.313146962908815	2.26928520122038	0.184732392198362	0.544520529353749	0.920042077617561	-1.15409216648795	-0.575087523844998	2.4665015399042	0.286338401402816	0.58323571387108	0.0430531219051449	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
