taxon	lfc_(Intercept)	lfc_EthnicityChinese	lfc_GenderMale	se_(Intercept)	se_EthnicityChinese	se_GenderMale	W_(Intercept)	W_EthnicityChinese	W_GenderMale	p_(Intercept)	p_EthnicityChinese	p_GenderMale	q_(Intercept)	q_EthnicityChinese	q_GenderMale	diff_(Intercept)	diff_EthnicityChinese	diff_GenderMale	passed_ss_(Intercept)	passed_ss_EthnicityChinese	passed_ss_GenderMale	diff_robust_(Intercept)	diff_robust_EthnicityChinese	diff_robust_GenderMale
Incertae Sedis	-0.191540843421179	0.35844850231051	-0.0531435369492909	0.135010102310147	0.17179469899835	0.1750645434203	-1.41871489720946	2.08649338076463	-0.3035653931459	0.158303856427695	0.0388293480868383	0.761929847315659	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Intestinimonas	0.143693887651991	-0.16623931636064	-0.0574118875058016	0.0933731452698714	0.116048208251847	0.120777557277883	1.53892093103086	-1.43250222355754	-0.475352282326005	0.129887124112549	0.157984622253191	0.636526644459642	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Lachnoclostridium	-0.0467064368689026	-0.0294332445150299	0.128621008187221	0.141075315512235	0.185127541354192	0.192118675567685	-0.331074481026782	-0.158989009953507	0.669487272942951	0.741097788998715	0.873913390515165	0.504319704862793	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Lachnospira	0.107695765061758	-0.149647204330757	-0.0138596786076331	0.0867026022500848	0.121356211249638	0.131052790299824	1.24212840522503	-1.23312356895291	-0.105756455668931	0.220484800403539	0.223794229724103	0.916235427998661	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Lachnospiraceae AC2044 group	-0.0134501678009325	0.0435569202540558	0.134296964855626	0.0671482802925139	0.108160774217313	0.124058112821439	-0.200305469363331	0.402705329813403	1.08253270827135	0.843081780640582	0.691051440729966	0.290738881531113	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Lachnospiraceae FCS020 group	-0.222395745927716	0.171553898154203	0.210885932353235	0.0738450580078044	0.104771795144537	0.117115911322962	-3.01165375080634	1.63740535243801	1.80065996132404	0.00425202944261484	0.108520929888485	0.0784608686844552	0.488983385900707	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Lachnospiraceae ND3007 group	0.148337612997293	-0.143434896526565	-0.0829399796656177	0.112606341557461	0.14196323581646	0.145519556148742	1.31731136049384	-1.01036649173035	-0.569957618485594	0.190399149630429	0.314478325238463	0.569837881059759	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Lachnospiraceae NK4A136 group	-0.0208511398440151	0.233448115242164	-0.151637013250864	0.133009600183424	0.163338036009128	0.165794526625321	-0.156764172024131	1.42923302462825	-0.914608077464152	0.875743648895368	0.156022981897934	0.362575779917278	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Lachnospiraceae UCG-001	0.146435831547895	0.0954490036625181	-0.365723874294814	0.0845654659725124	0.108999514019364	0.116205572066634	1.73162685103034	0.875682836948811	-3.14721461106103	0.091244466454028	0.3865640925795	0.00315415933540322	1	1	0.397424076260805	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Lachnospiraceae UCG-004	-0.0553302808373033	0.421744766205258	-0.363381975207444	0.0816964679703315	0.109161412380399	0.117649252744531	-0.677266498931102	3.86349678891645	-3.08868919037257	0.500756289954414	0.000269831388235219	0.00300707734879017	1	0.0348082490823432	0.381898823296351	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
